observation_date,GPDI
2000-01-01,1950.650
2000-04-01,2075.786
2000-07-01,2059.969
2000-10-01,2067.227
2001-01-01,1971.333
2001-04-01,1973.033
2001-07-01,1944.909
2001-10-01,1850.091
2002-01-01,1912.659
2002-04-01,1933.282
2002-07-01,1933.197
2002-10-01,1942.531
2003-01-01,1960.221
2003-04-01,1972.386
2003-07-01,2044.304
2003-10-01,2131.311
2004-01-01,2154.052
2004-04-01,2262.607
2004-07-01,2318.272
2004-10-01,2390.082
2005-01-01,2486.068
2005-04-01,2476.474
2005-07-01,2531.076
2005-10-01,2645.263
2006-01-01,2709.740
2006-04-01,2709.252
2006-07-01,2709.420
2006-10-01,2675.406
2007-01-01,2664.295
2007-04-01,2699.217
2007-07-01,2685.969
2007-10-01,2642.560
2008-01-01,2563.701
2008-04-01,2540.595
2008-07-01,2498.242
2008-10-01,2307.915
2009-01-01,2014.878
2009-04-01,1863.650
2009-07-01,1841.416
2009-10-01,1998.710
2010-01-01,2038.161
2010-04-01,2148.795
2010-07-01,2236.495
2010-10-01,2238.440
2011-01-01,2205.962
2011-04-01,2297.352
2011-07-01,2322.840
2011-10-01,2504.095
2012-01-01,2567.750
2012-04-01,2636.863
2012-07-01,2644.119
2012-10-01,2638.282
2013-01-01,2746.420
2013-04-01,2780.242
2013-07-01,2892.354
2013-10-01,2934.291
2014-01-01,2922.765
2014-04-01,3059.096
2014-07-01,3142.047
2014-10-01,3172.016
2015-01-01,3282.283
2015-04-01,3291.104
2015-07-01,3303.660
2015-10-01,3276.879
2016-01-01,3244.317
2016-04-01,3246.381
2016-07-01,3261.571
2016-10-01,3360.952
2017-01-01,3363.101
2017-04-01,3432.968
2017-07-01,3500.142
2017-10-01,3574.446
2018-01-01,3645.635
2018-04-01,3662.727
2018-07-01,3788.692
2018-10-01,3802.028
2019-01-01,3850.770
2019-04-01,3903.996
2019-07-01,3939.599
2019-10-01,3880.570
2020-01-01,3801.997
2020-04-01,3270.358
2020-07-01,3901.347
2020-10-01,4046.349
2021-01-01,4045.497
2021-04-01,4017.581
2021-07-01,4232.825
2021-10-01,4599.184
2022-01-01,4784.820
2022-04-01,4786.542
2022-07-01,4801.624
2022-10-01,4911.900
2023-01-01,4847.210
2023-04-01,4925.665
2023-07-01,5063.353
2023-10-01,5102.814
2024-01-01,5159.903
2024-04-01,5297.844
2024-07-01,5345.165
2024-10-01,5288.763
